sample,pair,class,order,seed,elapsed_ns,d4_inputs,d4_attempts,d4_first_failures,d8_inputs,d8_attempts,d8_first_failures,d16_inputs,d16_attempts,d16_first_failures,ml2_inputs,ml2_attempts,ml2_first_failures,signature_fnv64
97,48,B,A-first,5999710954555133489,806829000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
98,49,B,B-first,5999710954555133489,806853000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
99,49,A,B-first,5999710954555133489,807828000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
100,50,A,A-first,5999710954555133489,808795000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
101,50,B,A-first,5999710954555133489,810338000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
102,51,B,B-first,5999710954555133489,814982000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
103,51,A,B-first,5999710954555133489,809371000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
104,52,A,A-first,5999710954555133489,807355000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
105,52,B,A-first,5999710954555133489,807787000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
106,53,B,B-first,5999710954555133489,807194000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
107,53,A,B-first,5999710954555133489,807321000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
108,54,A,A-first,5999710954555133489,807527000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
109,54,B,A-first,5999710954555133489,806897000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
110,55,B,B-first,5999710954555133489,808057000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
111,55,A,B-first,5999710954555133489,806483000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
112,56,A,A-first,5999710954555133489,804433000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
113,56,B,A-first,5999710954555133489,807143000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
114,57,B,B-first,5999710954555133489,805387000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
115,57,A,B-first,5999710954555133489,806632000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
116,58,A,A-first,5999710954555133489,806101000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
117,58,B,A-first,5999710954555133489,806903000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
118,59,B,B-first,5999710954555133489,807351000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
119,59,A,B-first,5999710954555133489,807941000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
120,60,A,A-first,5999710954555133489,806139000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
121,60,B,A-first,5999710954555133489,805139000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
122,61,B,B-first,5999710954555133489,805900000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
123,61,A,B-first,5999710954555133489,806192000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
124,62,A,A-first,5999710954555133489,807362000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
125,62,B,A-first,5999710954555133489,807255000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
126,63,B,B-first,5999710954555133489,808020000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
127,63,A,B-first,5999710954555133489,804986000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
